角色,种族,发色,发型,瞳色,性格1,性格2,身材,足着,出场作品1,出场作品2,
帕秋莉 诺蕾姬,魔法使,紫色,长直,紫色,智慧,阴沉,少女,玛丽珍鞋,《东方红魔乡》,《东方梦月抄》,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
秦 心,妖怪,粉色,长直,粉色,淡漠,情绪稳定,少女,白色短靴,《东方深秘录》,《东方心绮楼》,
比那名居 天子,天人,蓝色,长直,红色,贪玩任性,害怕寂寞,少女,深棕色长筒靴,《东方绯想天》,《东方凭依华》,                                    
多多良 小伞,妖怪,浅蓝色,短直,左红右蓝,性格开朗,天真,少女,木屐,《东方星莲船》,《东方神明庙》,
泄矢 诹仿子,神明,黄色,短直,黑色,任性妄为,难以捉摸,幼小,皮鞋,《东方风神录》,《东方非想天则》,
四季 映姬,阎魔,绿色,短直,蓝色,严谨,正义感,幼小,玛丽珍鞋,《东方花映冢》,《东方鬼形兽》,
蓬莱山 辉夜,月人,黑色,长直,黑色,高贵傲慢,偏内向,少女,皮鞋,《东方永夜抄》,《东方梦月抄》,
八意 永琳,月人/神明,白色,长麻花辫,黑色,极其智慧,难以捉摸,成熟,玛丽珍鞋,《东方永夜抄》,《东方梦月抄》,
纯狐,神明,金色,长卷,红色,执着,达观,成熟,船鞋,《东方绀珠传》,《东方幻存神签》,
风见 幽香,妖怪,绿色,短卷,红色,礼貌,难以捉摸,成熟,棕色长靴,《东方花映冢》,《东方幻想乡》,
伊吹 萃香,鬼,橘棕色,长直,橘棕色,有些自私,直率,幼小,黑色皮鞋,《东方萃梦想》,《东方绯想天》,
犬走 椛,妖怪,白色,短直,红色,忠实,悠闲,少女,白色短袜,《东方风神录》,《东方文花帖DS》,
八云 蓝,妖怪,黄色,短直,黄色,温和,忙碌,成熟,白色短靴,《东方妖妖梦》,《东方永夜抄》,
灵乌路 空,妖兽,黑色,长直,红色,笨蛋,健忘,成熟,黑色及膝袜,《东方地灵殿》,《东方非想天则》,
赫卡提亚 拉碧斯拉祖利,神明,深红色-金黄色-深蓝色,短直,深红色-金黄色-深蓝色,爽朗好战,重视情义,少女,裸足,《东方绀珠传》,《东方三月精》,
依神 紫苑,神明,深蓝色,长卷,蓝色,低三下四,阴沉,少女,裸足,《东方凭依华》,《东方刚欲异闻》,
水桥 帕露西,妖怪,金色,短直,绿色,嫉妒心重,温柔,少女,黑玛丽珍鞋,《东方地灵殿》,《东方文花帖DS》,
宇佐见 莲子,人类,棕黑色,短直,黑色,理性,好奇心重,少女,黑玛丽珍鞋,《莲野台夜行》,《大空魔术》,
丰聪耳 神子,圣人,黄褐色,短发,黄褐色,洒脱,正直,少女,金色拖鞋,《东方神明庙》,《东方凭依华》,
鬼人 正邪,天邪鬼,黑色、红色、白色,短发,红色,叛逆,难以捉摸,少女,一字型拖鞋,《东方辉针城》,《弹幕天邪鬼》,
稀神 探女,月人/天邪鬼,银灰色,短卷,红色,寡言,难以捉摸,少女,棕色短靴,《东方绀珠传》,《秘封噩梦日记》,
物部 布都,仙人,灰色,中马尾,灰色/蓝色,温厚,古板,少女,深蓝色短靴,《东方神明庙》,《东方心绮楼》,
键山 雏,神明,绿色,中发,绿色,开朗,平易近人,少女,黑色长靴,《东方风神录》,《东方智灵奇传》,
摩多罗 隐歧奈,神明,金色,长卷,金色,神秘,从容镇静,成熟,褐色尖头靴,《东方天空璋》,《东方刚欲异闻》,
饭纲丸 龙,妖怪,深蓝色,中直,红色,深谋远虑,冷酷,少女,木屐,《东方虹龙洞》,《东方醉蝶华》,
河城 荷取,妖怪,水蓝色,短双马尾,水蓝色,守财如命,开朗活泼,少女,登山套鞋,《东方风神录》,《东方地灵殿》,
火焰猫 燐,妖兽,红色,短双麻花辫,红色,开朗单纯,能说善辩,少女,黑玛丽珍鞋,《东方地灵殿》,《东方锦上京》,
魅魔,恶灵,绿色,长直,绿色/黑色,幕后黑手,自信,成熟,无足,《东方灵异传》,《东方封魔录》,
茨木 华扇,仙人/鬼,粉色,短直,粉色,温柔,执着,少女,船鞋,《东方凭依华》,《东方茨歌仙》,
饕餮 尤魔,动物灵,白色,短卷,红色,狡诈,冷静,幼小,裸足,《东方刚欲异闻》,《东方兽王园》,
米斯蒂娅 萝蕾拉,妖怪,粉色,短直,黑色,笨蛋,吵闹,幼小,棕色皮鞋,《东方永夜抄》,《东方花映冢》,
橙,妖兽,棕色,短直,深棕色,活泼,天真,幼小,皮鞋,《东方妖妖梦》,《东方求闻史记》,
圣 白莲,魔法使,紫金色,长卷,紫色/黄色,悠然,友善,成熟,黑色靴子,《东方星莲船》,《东方心绮楼》,
上白泽 慧音,妖兽,蓝白色-绿白色,长直,暗红色-鲜红色,固执,智慧,成熟,黑色乐福鞋,《东方永夜抄》,《东方求闻史记》,
大妖精,妖精,绿色,短直,蓝色,单纯,活泼,少女,白色短袜,《东方红魔乡》,《东方幻存神签》,
玛艾露贝莉 赫恩,人类,金色,短直,黑色,感性,温柔,少女,黑玛丽珍鞋,《莲野台夜行》,《大空魔术》,
封兽 鵺,妖怪,黑色,短卷,红色,叛逆,难以捉摸,少女,红色皮鞋,《东方星莲船》,《东方神明庙》,
小恶魔,恶魔,深红色,长直,红色,任性,鲁莽,成熟,黑色皮鞋,《东方红魔乡》,《东方人妖名鉴》,
天弓 千亦,神明,深蓝色,短卷,蓝紫色,冷酷,自信,少女,粉色靴子,《东方虹龙洞》,《东方幻存神签》,
道神 驯子,神明,深蓝色,长发,深蓝色,智慧,忠实,少女,棕色中靴,《东方锦上京》,,
神琦,神明,白色,长发,浅蓝色,开朗豁达,冷静,成熟,红色皮鞋,《东方怪绮谈》,,
纳兹琳,妖兽,灰色,短卷,深红色,胆小,虚张声势,少女,黑色乐福鞋,《东方星莲船》,《东方智灵奇传》,
哆来咪,妖怪,蓝色,长发,蓝色,淡漠,温和,少女,白色三折袜,《东方绀珠传》,《东方凭依华》,
因幡 帝,妖兽,黑色,短直,红色,胆小,狡诈,幼小,裸足,《东方永夜抄》,《东方梦月抄》,
菅牧 典,妖兽,黄褐色,短发,金色,胆小,狡诈,少女,白色足袋,《东方虹龙洞》,《东方兽王园》,
霍 青娥,仙人,深蓝色,短卷,深蓝色,自私,狡诈,成熟,船鞋,《东方神明庙》,《东方茨歌仙》,
埴安神 袿姬,神明,水蓝色,中直,粉红色,天才,执着,成熟,黑色拖鞋,《东方鬼形兽》,《东方幻存神签》,
克劳恩 皮斯,妖精,金色,长卷,红色,疯狂,单纯,幼小,裤袜,《东方绀珠传》,《东方三月精》,
赤蛮奇,妖怪,红色,短直,红色,温顺,胆怯,少女,黑色短靴,《东方辉针城》,《弹幕天邪鬼》,
本居 小玲,人类,深橘色,短直,红色,执着,胆怯,少女,黑色中筒靴,《东方铃奈庵》,《东方幻存神签》,
八坂 神奈子,神明,蓝紫色,短直,红色/蓝色,专横,直爽,成熟,草鞋,《东方风神录》,《东方地灵殿》,
莉格露 奈特巴格,妖怪,绿色,短直,蓝绿色,笨蛋,单纯,幼小,皮鞋,《东方永夜抄》,《东方文花帖》,
村纱 水蜜,幽灵,黑色,短卷,绿色,开朗,健谈,少女,棕色靴子,《东方星莲船》,《东方刚欲异闻》,
莉莉 白,妖精,金发,长直,金色,开朗,单纯,幼小,白色短靴,《东方妖妖梦》,《东方求闻史记》,
绵月 丰姬,月人,黄色,短发,红色/金色,天真,深不可测,少女,红棕色短靴,《东方梦月抄》,《东方锦上京》,
小野塚 小町,神明,红色,短卷,红色,慵懒,健谈,成熟,黑色厚底木屐,《东方花映冢》,《东方文花帖》,
幻月,恶魔,黄色,短直,金色,疯狂,冷酷,少女,白色三折袜,《东方幻想乡》,,
姬海棠 果,妖怪,棕色,短直,棕色,固执,自信,少女,一齿高木屐,《东方文化帖DS》,《东方智灵奇传》,
吉弔 八千慧,动物灵,黄色,短发,金色/红色,两面三刀,执着,成熟,黑玛丽珍鞋,《东方鬼形兽》,《东方兽王园》,
依神 女苑,神明,稻草色,螺旋双马尾,黄色,傲慢,纵欲,少女,棕色长筒靴,《东方凭依华》,《东方刚欲异闻》,
永江 衣玖,妖怪,蓝紫色,短直,红色/棕色,悠然,淡漠,少女,棕黑色皮鞋,《东方非想天则》,《东方幻存神签》,
稗田 阿求,人类,紫色,短直,紫色,执着,智慧,少女,白色足袋,《东方求闻史记》,《东方铃奈庵》,
二岩 猯藏,妖怪,红棕色,短发,红棕色,狡诈,老谋深算,成熟,木屐,《东方玲奈庵》,《东方神明庙》,
今泉 影狼,妖怪,棕褐色,长直,红色,沉稳,温顺,少女,裸足,《东方辉针城》,《东方幻存神签》,
森近 霖之助,人妖混血,白色,短发,金色,沉稳,淡漠,少年,切尔西鞋,《东方香霖堂》,《东方文花帖》,
奥野田 美宵,妖怪,粉红色,短直,绿色,温柔,和善,少女,木屐,《东方醉蝶华》,《东方幻存神签》,
星熊 勇仪,鬼,黄色,长直,红色,直爽,真诚,成熟,木屐,《东方地灵殿》,《东方醉蝶华》,
庭渡 久侘歌,神明,淡黄色,短卷,淡黄色,认真,公正,少女,棕色长靴,《东方鬼形兽》,《东方幻存神签》,
宇佐见 堇子,人类,棕色‘,中卷,棕色,自命不凡,自信,少女,黑色皮鞋,《东方深秘录》,《东方凭依华》,
苏我 屠自古,怨灵,绿色,短卷,绿色,豪爽,易怒,少女,无足,《东方神明庙》,《东方求闻口授》,
少名 针妙丸,人类,淡紫色,短直,淡紫色/红色,耿直,表里如一,幼小,裸足,《东方辉针城》,《东方深秘录》,
冈崎 梦美,人类,红色,长麻花辫,红色,冷静睿智,强势,少女,红色皮鞋,《东方梦时空》,,
宫出口 瑞灵,怨灵,蓝色,高马尾,浅蓝色,阴暗,狡诈,少女,无足,《东方智灵奇传》,《东方幻存神签》,
堀川 雷鼓,妖怪,红色,短卷,红色,有胆识,豪爽,成熟,黑色短靴,《东方辉针城》,《东方幻存神签》,
豫母都 日狭美,妖怪,黑色,长直,紫色,口蜜腹剑,笨拙,成熟,黑色中靴,《东方兽王园》,《东方幻存神签》,
高丽野 阿吽,妖怪,绿色,长卷,绿色,冷静,忠实,幼小,木屐,《东方兽王园》,《东方幻存神签》,
绵月 依姬,月人,紫色,高马尾,紫色,认真,自信,少女,红色短靴,《东方梦月抄》,《东方幻存神签》,
露娜 切尔德,妖精,稻草色,螺旋发辫,红色,迟钝,爱讲理,幼小,拖鞋,《东方三月精》,《妖精大战争》,
梅蒂欣,妖怪,黄色,短发,蓝色,稚嫩,执着,幼小,红色圆头鞋,《东方花映冢》,《东方人妖名鉴》,
若鹭姬,妖怪,深蓝色,短卷,深蓝色,软弱,温顺,少女,无足,《东方辉针城》,《东方人妖名鉴》,
宫古 芳香,妖怪,深蓝色,短发,深蓝色,空洞,忠实,少女,黑色皮鞋,《东方神明庙》,《东方人妖名鉴》,
蕾蒂,妖怪,淡粉色,短卷,蓝色,单纯,老实,少女,白色三折袜,《东方妖妖梦》,《东方人妖名鉴》,
